tissue,sp,path,name,sp_simple
Adrenal-Gland,human,healthy/HCL_Adrenal-Gland,h_adr,h
Adrenal-Gland,mouse,healthy/MCA_Adrenal-Gland,m_adr,m
Bone-Marrow,human,healthy/HCL_Bone-Marrow,h_bon,h
Bone-Marrow,mouse,healthy/MCA_Bone-Marrow,m_bon,m
Brain,human,healthy/HCL_Brain,h_bra,h
Brain,mouse,healthy/MCA_Brain,m_bra,m
Heart,human,healthy/HCL_Heart,h_hea,h
Heart,mouse,healthy/MCA_Heart,m_hea,m
Intestine,human,healthy/HCL_Intestine,h_int,h
Intestine,mouse,healthy/MCA_Intestine,m_int,m
Kidney,human,healthy/HCL_Kidney,h_kid,h
Kidney,mouse,healthy/MCA_Kidney,m_kid,m
Liver,human,healthy/HCL_Liver,h_liv,h
Liver,mouse,healthy/MCA_Liver,m_liv,m
Lung,human,healthy/HCL_Lung,h_lun,h
Lung,mouse,healthy/MCA_Lung,m_lun,m
Pancreas,human,healthy/HCL_Pancreas,h_pan,h
Pancreas,mouse,healthy/MCA_Pancreas,m_pan,m
Spleen,human,healthy/HCL_Spleen,h_spl,h
Spleen,mouse,healthy/MCA_Spleen,m_spl,m
Stomach,human,healthy/HCL_Stomach,h_sto,h
Stomach,mouse,healthy/MCA_Stomach,m_sto,m
